a,ə,(∅ ə ∅)
remember,rɪˈmembə,(r ɪ ∅) ˈ(m e m) (b ə ∅)
remind,rɪˈmaɪnd,(r ɪ ∅) ˈ(m aɪ nd)
reminder,rɪˈmaɪndə,(r ɪ ∅) ˈ(m aɪ n) (d ə ∅)
remote,rɪˈməʊt,(r ɪ ∅) ˈ(m əʊ t)
removal,rɪˈmuːvəl,(r ɪ ∅) ˈ(m uː ∅) (v ə l)
remove,rɪˈmuːv,(r ɪ ∅) ˈ(m uː v)
render,ˈrendə,ˈ(r e n) (d ə ∅)
rent,rent,(r e nt)
rental,ˈrentəl,ˈ(r e n) (t ə l)
repair,rɪˈpeə,(r ɪ ∅) ˈ(p eə ∅)
repeat,rɪˈpiːt,(r ɪ ∅) ˈ(p iː t)
repeatedly,rɪˈpiːtɪdli,(r ɪ ∅) ˈ(p iː ∅) (t ɪ d) (l i ∅)
replace,rɪˈpleɪs,(r ɪ ∅) ˈ(pl eɪ s)
replacement,rɪˈpleɪsmənt,(r ɪ ∅) ˈ(pl eɪ s) (m ə nt)
reply,rɪˈplaɪ,(r ɪ ∅) ˈ(pl aɪ ∅)
report,rɪˈpɔːt,(r ɪ ∅) ˈ(p ɔː t)
report,rɪˈpɔːt,(r ɪ ∅) ˈ(p ɔː t)
reportedly,rɪˈpɔːtɪdli,(r ɪ ∅) ˈ(p ɔː ∅) (t ɪ d) (l i ∅)
reporter,rɪˈpɔːtə,(r ɪ ∅) ˈ(p ɔː ∅) (t ə ∅)
reporting,rɪˈpɔːtɪŋ,(r ɪ ∅) ˈ(p ɔː ∅) (t ɪ ŋ)
represent,ˌriːprɪˈzent,ˌ(r iː ∅) (pr ɪ ∅) ˈ(z e nt)
representation,ˌreprɪzenˈteɪʃn̩,ˌ(r e ∅) (pr ɪ ∅) (z e n) ˈ(t eɪ ∅) (ʃ n̩ ∅)
representative,ˌreprɪˈzentətɪv,ˌ(r e ∅) (pr ɪ ∅) ˈ(z e n) (t ə ∅) (t ɪ v)
republic,rɪˈpʌblɪk,(r ɪ ∅) ˈ(p ʌ ∅) (bl ɪ k)
republican,rɪˈpʌblɪkən,(r ɪ ∅) ˈ(p ʌ ∅) (bl ɪ ∅) (k ə n)
reputation,ˌrepjʊˈteɪʃn̩,ˌ(r e ∅) (pj ʊ ∅) ˈ(t eɪ ∅) (ʃ n̩ ∅)
request,rɪˈkwest,(r ɪ ∅) ˈ(kw e st)
require,rɪˈkwaɪə,(r ɪ ∅) ˈ(kw aɪ ∅) (∅ ə ∅)
required,rɪˈkwaɪəd,(r ɪ ∅) ˈ(kw aɪ ∅) (∅ ə d)
requirement,rɪˈkwaɪəmənt,(r ɪ ∅) ˈ(kw aɪ ∅) (∅ ə ∅) (m ə nt)
rescue,ˈreskjuː,ˈ(r e ∅) (skj uː ∅)
research,rɪˈsɜːʧ,(r ɪ ∅) ˈ(s ɜː ʧ)
researcher,rɪˈsɜːʧə,(r ɪ ∅) ˈ(s ɜː ∅) (ʧ ə ∅)
resemble,rɪˈzembɫ̩,(r ɪ ∅) ˈ(z e m) (b ɫ̩ ∅)
reservation,ˌrezəˈveɪʃn̩,ˌ(r e ∅) (z ə ∅) ˈ(v eɪ ∅) (ʃ n̩ ∅)
reserve,rɪˈzɜːv,(r ɪ ∅) ˈ(z ɜː v)
residence,ˈrezɪdəns,ˈ(r e ∅) (z ɪ ∅) (d ə ns)
resident,ˈrezɪdənt,ˈ(r e ∅) (z ɪ ∅) (d ə nt)
residential,ˌrezɪˈdenʃəl,ˌ(r e ∅) (z ɪ ∅) ˈ(d e n) (ʃ ə l)
resign,rɪˈzaɪn,(r ɪ ∅) ˈ(z aɪ n)
resist,rɪˈzɪst,(r ɪ ∅) ˈ(z ɪ st)
resistance,rɪˈzɪstəns,(r ɪ ∅) ˈ(z ɪ ∅) (st ə ns)
resolution,ˌrezəˈluːʃn̩,ˌ(r e ∅) (z ə ∅) ˈ(l uː ∅) (ʃ n̩ ∅)
resolve,rɪˈzɒlv,(r ɪ ∅) ˈ(z ɒ lv)
resort,rɪˈzɔːt,(r ɪ ∅) ˈ(z ɔː t)
resource,rɪˈzɔːs,(r ɪ ∅) ˈ(z ɔː s)
respect,rɪˈspekt,(r ɪ ∅) ˈ(sp e kt)
respectively,rɪˈspektɪvli,(r ɪ ∅) ˈ(sp e k) (t ɪ v) (l i ∅)
respond,rɪˈspɒnd,(r ɪ ∅) ˈ(sp ɒ nd)
respondent,rɪˈspɒndənt,(r ɪ ∅) ˈ(sp ɒ n) (d ə nt)
response,rɪˈspɒns,(r ɪ ∅) ˈ(sp ɒ ns)
responsibility,rɪˌspɒnsəˈbɪlɪti,(r ɪ ∅) ˌ(sp ɒ n) (s ə ∅) ˈ(b ɪ ∅) (l ɪ ∅) (t i ∅)
responsible,rɪˈspɒnsəbɫ̩,(r ɪ ∅) ˈ(sp ɒ n) (s ə ∅) (b ɫ̩ ∅)
rest,rest,(r e st)
restaurant,ˈrestrɒnt,ˈ(r e ∅) (str ɒ nt)
restore,rɪˈstɔː,(r ɪ ∅) ˈ(st ɔː ∅)
restrict,rɪˈstrɪkt,(r ɪ ∅) ˈ(str ɪ kt)
restriction,rɪˈstrɪkʃn̩,(r ɪ ∅) ˈ(str ɪ k) (ʃ n̩ ∅)
result,rɪˈzʌlt,(r ɪ ∅) ˈ(z ʌ lt)
resume,rɪˈzjuːm,(r ɪ ∅) ˈ(zj uː m)
retail,ˈriːteɪl,ˈ(r iː ∅) (t eɪ l)
retailer,ˈriːteɪlə,ˈ(r iː ∅) (t eɪ ∅) (l ə ∅)
retain,rɪˈteɪn,(r ɪ ∅) ˈ(t eɪ n)
retire,rɪˈtaɪə,(r ɪ ∅) ˈ(t aɪ ∅) (∅ ə ∅)
retired,rɪˈtaɪəd,(r ɪ ∅) ˈ(t aɪ ∅) (∅ ə d)
retirement,rɪˈtaɪəmənt,(r ɪ ∅) ˈ(t aɪ ∅) (∅ ə ∅) (m ə nt)
retreat,rɪˈtriːt,(r ɪ ∅) ˈ(tr iː t)
return,rɪˈtɜːn,(r ɪ ∅) ˈ(t ɜː n)
reveal,rɪˈviːl,(r ɪ ∅) ˈ(v iː l)
revelation,ˌrevəˈleɪʃn̩,ˌ(r e ∅) (v ə ∅) ˈ(l eɪ ∅) (ʃ n̩ ∅)
revenue,ˈrevənjuː,ˈ(r e ∅) (v ə ∅) (nj uː ∅)
reverse,rɪˈvɜːs,(r ɪ ∅) ˈ(v ɜː s)
review,rɪˈvjuː,(r ɪ ∅) ˈ(vj uː ∅)
revolution,ˌrevəˈluːʃn̩,ˌ(r e ∅) (v ə ∅) ˈ(l uː ∅) (ʃ n̩ ∅)
revolutionary,ˌrevəˈluːʃənri,ˌ(r e ∅) (v ə ∅) ˈ(l uː ∅) (ʃ ə n) (r i ∅)
reward,rɪˈwɔːd,(r ɪ ∅) ˈ(w ɔː d)
rhetoric,ˈretərɪk,ˈ(r e ∅) (t ə ∅) (r ɪ k)
rhythm,ˈrɪðəm,ˈ(r ɪ ∅) (ð ə m)
rib,rɪb,(r ɪ b)
ribbon,ˈrɪbən,ˈ(r ɪ ∅) (b ə n)
rice,raɪs,(r aɪ s)
rich,rɪʧ,(r ɪ ʧ)
rid,rɪd,(r ɪ d)
ride,raɪd,(r aɪ d)
rider,ˈraɪdə,ˈ(r aɪ ∅) (d ə ∅)
ridge,rɪʤ,(r ɪ ʤ)
ridiculous,rɪˈdɪkjʊləs,(r ɪ ∅) ˈ(d ɪ ∅) (kj ʊ ∅) (l ə s)
rifle,ˈraɪfəl,ˈ(r aɪ ∅) (f ə l)
right,raɪt,(r aɪ t)
rim,rɪm,(r ɪ m)
ring,rɪŋ,(r ɪ ŋ)
ring,rɪŋ,(r ɪ ŋ)
riot,ˈraɪət,ˈ(r aɪ ∅) (∅ ə t)
rip,rɪp,(r ɪ p)
rise,raɪz,(r aɪ z)
risk,rɪsk,(r ɪ sk)
risk,rɪsk,(r ɪ sk)
risky,ˈrɪski,ˈ(r ɪ ∅) (sk i ∅)
ritual,ˈrɪʧʊəl,ˈ(r ɪ ∅) (ʧ ʊə l)
rival,ˈraɪvəl,ˈ(r aɪ ∅) (v ə l)
river,ˈrɪvə,ˈ(r ɪ ∅) (v ə ∅)
road,rəʊd,(r əʊ d)
robot,ˈrəʊbɒt,ˈ(r əʊ ∅) (b ɒ t)
rock,rɒk,(r ɒ k)
rocket,ˈrɒkɪt,ˈ(r ɒ ∅) (k ɪ t)
rod,rɒd,(r ɒ d)
role,rəʊl,(r əʊ l)
roll,rəʊl,(r əʊ l)
rolling,ˈrəʊlɪŋ,ˈ(r əʊ ∅) (l ɪ ŋ)
roman,ˈrəʊmən,ˈ(r əʊ ∅) (m ə n)
romance,rəʊˈmans,(r əʊ ∅) ˈ(m a ns)
romantic,rəˈmantɪk,(r ə ∅) ˈ(m a n) (t ɪ k)
roof,ruːf,(r uː f)
room,ruːm,(r uː m)
root,ruːt,(r uː t)
rope,rəʊp,(r əʊ p)
rose,rəʊz,(r əʊ z)
rough,rʌf,(r ʌ f)
roughly,ˈrʌfli,ˈ(r ʌ f) (l i ∅)
round,ˈraʊnd,ˈ(r aʊ nd)
route,ruːt,(r uː t)
routine,ruːˈtiːn,(r uː ∅) ˈ(t iː n)
routinely,ruːˈtiːnli,(r uː ∅) ˈ(t iː n) (l i ∅)
row,raʊ,(r aʊ ∅)
royal,ˈrɔɪəl,ˈ(r ɔɪ ∅) (∅ ə l)
rub,rʌb,(r ʌ b)
rubber,ˈrʌbə,ˈ(r ʌ ∅) (b ə ∅)
ruin,ˈruːɪn,ˈ(r uː ∅) (∅ ɪ n)
rule,ruːl,(r uː l)
ruling,ˈruːlɪŋ,ˈ(r uː ∅) (l ɪ ŋ)
rumour,ˈruːmə,ˈ(r uː ∅) (m ə ∅)
run,rʌn,(r ʌ n)
runner,ˈrʌnə,ˈ(r ʌ ∅) (n ə ∅)
running,ˈrʌnɪŋ,ˈ(r ʌ ∅) (n ɪ ŋ)
rural,ˈrʊərəl,ˈ(r ʊə ∅) (r ə l)
rush,rʌʃ,(r ʌ ʃ)
russian,ˈrʌʃən,ˈ(r ʌ ∅) (ʃ ə n)
sack,sak,(s a k)
sacred,ˈseɪkrɪd,ˈ(s eɪ ∅) (kr ɪ d)
sacrifice,ˈsakrɪfaɪs,ˈ(s a ∅) (kr ɪ ∅) (f aɪ s)
sad,sad,(s a d)
safe,seɪf,(s eɪ f)
safely,ˈseɪfli,ˈ(s eɪ f) (l i ∅)
safety,ˈseɪfti,ˈ(s eɪ f) (t i ∅)
sail,seɪl,(s eɪ l)
sake,seɪk,(s eɪ k)
salad,ˈsaləd,ˈ(s a ∅) (l ə d)
salary,ˈsaləri,ˈ(s a ∅) (l ə ∅) (r i ∅)
sale,seɪl,(s eɪ l)
sales,seɪlz,(s eɪ lz)
salmon,ˈsamən,ˈ(s a ∅) (m ə n)
salt,sɔːlt,(s ɔː lt)
same,seɪm,(s eɪ m)
sample,ˈsɑːmpɫ̩,ˈ(s ɑː m) (p ɫ̩ ∅)
sanction,ˈsaŋkʃn̩,ˈ(s a ŋk) (ʃ n̩ ∅)
sand,sand,(s a nd)
sandwich,ˈsanwɪʤ,ˈ(s a n) (w ɪ ʤ)
satellite,ˈsatəlaɪt,ˈ(s a ∅) (t ə ∅) (l aɪ t)
satisfaction,ˌsatɪsˈfakʃn̩,ˌ(s a ∅) (t ɪ s) ˈ(f a k) (ʃ n̩ ∅)
satisfy,ˈsatɪsfaɪ,ˈ(s a ∅) (t ɪ s) (f aɪ ∅)
sauce,sɔːs,(s ɔː s)
save,seɪv,(s eɪ v)
saving,ˈseɪvɪŋ,ˈ(s eɪ ∅) (v ɪ ŋ)
say,ˈseɪ,ˈ(s eɪ ∅)
scale,skeɪl,(sk eɪ l)
scan,skan,(sk a n)
scandal,ˈskandəl,ˈ(sk a n) (d ə l)
scare,skeə,(sk eə ∅)
scared,skeəd,(sk eə d)
scary,ˈskeəri,ˈ(sk eə ∅) (r i ∅)
scatter,ˈskatə,ˈ(sk a ∅) (t ə ∅)
scenario,sɪˈnɑːriəʊ,(s ɪ ∅) ˈ(n ɑː ∅) (r i ∅) (∅ əʊ ∅)
scene,siːn,(s iː n)
scent,sent,(s e nt)
schedule,ˈʃedjuːl,ˈ(ʃ e ∅) (dj uː l)
scheme,skiːm,(sk iː m)
scholar,ˈskɒlə,ˈ(sk ɒ ∅) (l ə ∅)
scholarship,ˈskɒləʃɪp,ˈ(sk ɒ ∅) (l ə ∅) (ʃ ɪ p)
school,skuːl,(sk uː l)
science,ˈsaɪəns,ˈ(s aɪ ∅) (∅ ə ns)
scientific,ˌsaɪənˈtɪfɪk,ˌ(s aɪ ∅) (∅ ə n) ˈ(t ɪ ∅) (f ɪ k)
scientist,ˈsaɪəntɪst,ˈ(s aɪ ∅) (∅ ə n) (t ɪ st)
scope,skəʊp,(sk əʊ p)
score,skɔː,(sk ɔː ∅)
scramble,ˈskrambɫ̩,ˈ(skr a m) (b ɫ̩ ∅)
scratch,skraʧ,(skr a ʧ)
scream,skriːm,(skr iː m)
screen,skriːn,(skr iː n)
screening,ˈskriːnɪŋ,ˈ(skr iː ∅) (n ɪ ŋ)
screw,skruː,(skr uː ∅)
script,skrɪpt,(skr ɪ pt)
sculpture,ˈskʌlpʧə,ˈ(sk ʌ lp) (ʧ ə ∅)
sea,siː,(s iː ∅)
seal,siːl,(s iː l)
search,sɜːʧ,(s ɜː ʧ)
season,ˈsiːzn̩,ˈ(s iː ∅) (z n̩ ∅)
seat,siːt,(s iː t)
second,ˈsekənd,ˈ(s e ∅) (k ə nd)
secondary,ˈsekəndri,ˈ(s e ∅) (k ə n) (dr i ∅)
secret,ˈsiːkrɪt,ˈ(s iː ∅) (kr ɪ t)
secretary,ˈsekrətəri,ˈ(s e ∅) (kr ə ∅) (t ə ∅) (r i ∅)
section,ˈsekʃn̩,ˈ(s e k) (ʃ n̩ ∅)
sector,ˈsektə,ˈ(s e k) (t ə ∅)
secular,ˈsekjʊlə,ˈ(s e ∅) (kj ʊ ∅) (l ə ∅)
secure,sɪˈkjʊə,(s ɪ ∅) ˈ(kj ʊə ∅)
security,sɪˈkjʊərɪti,(s ɪ ∅) ˈ(kj ʊə ∅) (r ɪ ∅) (t i ∅)
see,ˈsiː,ˈ(s iː ∅)
seed,siːd,(s iː d)
seek,siːk,(s iː k)
seem,siːm,(s iː m)
seemingly,ˈsiːmɪŋli,ˈ(s iː ∅) (m ɪ ŋ) (l i ∅)
segment,segˈment,(s e g) ˈ(m e nt)
seize,siːz,(s iː z)
seldom,ˈseldəm,ˈ(s e l) (d ə m)
select,sɪˈlekt,(s ɪ ∅) ˈ(l e kt)
selected,sɪˈlektɪd,(s ɪ ∅) ˈ(l e k) (t ɪ d)
selection,sɪˈlekʃn̩,(s ɪ ∅) ˈ(l e k) (ʃ n̩ ∅)
self,self,(s e lf)
sell,sel,(s e l)
seller,ˈselə,ˈ(s e ∅) (l ə ∅)
seminar,ˈsemɪnɑː,ˈ(s e ∅) (m ɪ ∅) (n ɑː ∅)
senate,ˈsenɪt,ˈ(s e ∅) (n ɪ t)
senator,ˈsenətə,ˈ(s e ∅) (n ə ∅) (t ə ∅)
send,send,(s e nd)
senior,ˈsiːniə,ˈ(s iː ∅) (n iə ∅)
sensation,senˈseɪʃn̩,(s e n) ˈ(s eɪ ∅) (ʃ n̩ ∅)
sense,sens,(s e ns)
sensitive,ˈsensətɪv,ˈ(s e n) (s ə ∅) (t ɪ v)
sensitivity,ˌsensəˈtɪvɪti,ˌ(s e n) (s ə ∅) ˈ(t ɪ ∅) (v ɪ ∅) (t i ∅)
sensor,ˈsensə,ˈ(s e n) (s ə ∅)
sentence,ˈsentəns,ˈ(s e n) (t ə ns)
sentiment,ˈsentɪmənt,ˈ(s e n) (t ɪ ∅) (m ə nt)
separate,ˈseprət,ˈ(s e ∅) (pr ə t)
separation,ˌsepəˈreɪʃn̩,ˌ(s e ∅) (p ə ∅) ˈ(r eɪ ∅) (ʃ n̩ ∅)
sequence,ˈsiːkwəns,ˈ(s iː ∅) (kw ə ns)
series,ˈsɪːriːz,ˈ(s ɪː ∅) (r iː z)
serious,ˈsɪːriəs,ˈ(s ɪː ∅) (r iə s)
seriously,ˈsɪːriəsli,ˈ(s ɪː ∅) (r iə s) (l i ∅)
servant,ˈsɜːvənt,ˈ(s ɜː ∅) (v ə nt)
serve,sɜːv,(s ɜː v)
service,ˈsɜːvɪs,ˈ(s ɜː ∅) (v ɪ s)
serving,ˈsɜːvɪŋ,ˈ(s ɜː ∅) (v ɪ ŋ)
session,ˈseʃn̩,ˈ(s e ∅) (ʃ n̩ ∅)
set,set,(s e t)
setting,ˈsetɪŋ,ˈ(s e ∅) (t ɪ ŋ)
settle,ˈsetɫ̩,ˈ(s e ∅) (t ɫ̩ ∅)
settlement,ˈsetɫ̩mənt,ˈ(s e ∅) (t ɫ̩ ∅) (m ə nt)
seven,ˈsevn̩,ˈ(s e ∅) (v n̩ ∅)
seventh,ˈsevn̩θ,ˈ(s e ∅) (v n̩ θ)
several,ˈsevrəl,ˈ(s e v) (r ə l)
severe,sɪˈviə,(s ɪ ∅) ˈ(v iə ∅)
severely,sɪˈviəli,(s ɪ ∅) ˈ(v iə ∅) (l i ∅)
sex,seks,(s e ks)
sexual,ˈsekʃʊəl,ˈ(s e k) (ʃ ʊə l)
sexuality,ˌsekʃʊˈalɪti,ˌ(s e k) (ʃ ʊ ∅) ˈ(∅ a ∅) (l ɪ ∅) (t i ∅)
sexually,ˈsekʃʊəli,ˈ(s e k) (ʃ ʊə ∅) (l i ∅)
sexy,ˈseksi,ˈ(s e k) (s i ∅)
shade,ʃeɪd,(ʃ eɪ d)
shadow,ˈʃadəʊ,ˈ(ʃ a ∅) (d əʊ ∅)
shake,ʃeɪk,(ʃ eɪ k)
shall,ʃal,(ʃ a l)
shallow,ˈʃaləʊ,ˈ(ʃ a ∅) (l əʊ ∅)
shame,ʃeɪm,(ʃ eɪ m)
shape,ʃeɪp,(ʃ eɪ p)
share,ʃeə,(ʃ eə ∅)
shared,ʃeəd,(ʃ eə d)
shareholder,ˈʃeəhəʊldə,ˈ(ʃ eə ∅) (h əʊ l) (d ə ∅)
shark,ʃɑːk,(ʃ ɑː k)
sharp,ʃɑːp,(ʃ ɑː p)
sharply,ˈʃɑːpli,ˈ(ʃ ɑː ∅) (pl i ∅)
she,ʃi,(ʃ i ∅)
shed,ʃed,(ʃ e d)
sheep,ʃiːp,(ʃ iː p)
sheer,ʃiə,(ʃ iə ∅)
sheet,ʃiːt,(ʃ iː t)
shelf,ʃelf,(ʃ e lf)
shell,ʃel,(ʃ e l)
shelter,ˈʃeltə,ˈ(ʃ e l) (t ə ∅)
shift,ʃɪft,(ʃ ɪ ft)
shine,ʃaɪn,(ʃ aɪ n)
ship,ʃɪp,(ʃ ɪ p)
shirt,ʃɜːt,(ʃ ɜː t)
shit,ʃɪt,(ʃ ɪ t)
shock,ʃɒk,(ʃ ɒ k)
shoe,ʃuː,(ʃ uː ∅)
shoot,ʃuːt,(ʃ uː t)
shooting,ˈʃuːtɪŋ,ˈ(ʃ uː ∅) (t ɪ ŋ)
shop,ʃɒp,(ʃ ɒ p)
shopping,ˈʃɒpɪŋ,ˈ(ʃ ɒ ∅) (p ɪ ŋ)
shore,ʃɔː,(ʃ ɔː ∅)
short,ʃɔːt,(ʃ ɔː t)
shortage,ˈʃɔːtɪʤ,ˈ(ʃ ɔː ∅) (t ɪ ʤ)
shortly,ˈʃɔːtli,ˈ(ʃ ɔː t) (l i ∅)
shorts,ʃɔːts,(ʃ ɔː ts)
short-term,ˈʃɔːttɜːm,ˈ(ʃ ɔː t) (t ɜː m)
shot,ʃɒt,(ʃ ɒ t)
should,ʃʊd,(ʃ ʊ d)
shoulder,ˈʃəʊldə,ˈ(ʃ əʊ l) (d ə ∅)
shout,ʃaʊt,(ʃ aʊ t)
shove,ʃʌv,(ʃ ʌ v)
show,ʃəʊ,(ʃ əʊ ∅)
shower,ˈʃaʊə,ˈ(ʃ aʊ ∅) (∅ ə ∅)
shrimp,ʃrɪmp,(ʃr ɪ mp)
shrink,ʃrɪŋk,(ʃr ɪ ŋk)
shrug,ʃrʌg,(ʃr ʌ g)
shut,ʃʌt,(ʃ ʌ t)
shuttle,ˈʃʌtɫ̩,ˈ(ʃ ʌ ∅) (t ɫ̩ ∅)
shy,ʃaɪ,(ʃ aɪ ∅)
sibling,ˈsɪblɪŋ,ˈ(s ɪ b) (l ɪ ŋ)
sick,sɪk,(s ɪ k)
side,saɪd,(s aɪ d)
sidewalk,ˈsaɪdwɔːk,ˈ(s aɪ d) (w ɔː k)
sigh,saɪ,(s aɪ ∅)
sight,saɪt,(s aɪ t)
sign,saɪn,(s aɪ n)
signal,ˈsɪgnəl,ˈ(s ɪ g) (n ə l)
signature,ˈsɪgnəʧə,ˈ(s ɪ g) (n ə ∅) (ʧ ə ∅)
significance,sɪgˈnɪfɪkəns,(s ɪ g) ˈ(n ɪ ∅) (f ɪ ∅) (k ə ns)
significant,sɪgˈnɪfɪkənt,(s ɪ g) ˈ(n ɪ ∅) (f ɪ ∅) (k ə nt)
significantly,sɪgˈnɪfɪkəntli,(s ɪ g) ˈ(n ɪ ∅) (f ɪ ∅) (k ə nt) (l i ∅)
silence,ˈsaɪləns,ˈ(s aɪ ∅) (l ə ns)
silent,ˈsaɪlənt,ˈ(s aɪ ∅) (l ə nt)
silk,sɪlk,(s ɪ lk)
silly,ˈsɪli,ˈ(s ɪ ∅) (l i ∅)
silver,ˈsɪlvə,ˈ(s ɪ l) (v ə ∅)
similar,ˈsɪmələ,ˈ(s ɪ ∅) (m ə ∅) (l ə ∅)
similarity,ˌsɪməˈlarɪti,ˌ(s ɪ ∅) (m ə ∅) ˈ(l a ∅) (r ɪ ∅) (t i ∅)
similarly,ˈsɪmələli,ˈ(s ɪ ∅) (m ə ∅) (l ə ∅) (l i ∅)
simple,ˈsɪmpɫ̩,ˈ(s ɪ m) (p ɫ̩ ∅)
simply,ˈsɪmpli,ˈ(s ɪ m) (pl i ∅)
simultaneously,ˌsɪməlˈteɪniəsli,ˌ(s ɪ ∅) (m ə l) ˈ(t eɪ ∅) (n iə ∅) (sl i ∅)
sin,sɪn,(s ɪ n)
since,sɪns,(s ɪ ns)
sing,sɪŋ,(s ɪ ŋ)
singer,ˈsɪŋə,ˈ(s ɪ ŋ) (∅ ə ∅)
single,ˈsɪŋgɫ̩,ˈ(s ɪ ŋ) (g ɫ̩ ∅)
sink,sɪŋk,(s ɪ ŋk)
sir,sɜː,(s ɜː ∅)
sister,ˈsɪstə,ˈ(s ɪ ∅) (st ə ∅)
sit,sɪt,(s ɪ t)
site,saɪt,(s aɪ t)
situation,ˌsɪʧʊˈeɪʃn̩,ˌ(s ɪ ∅) (ʧ ʊ ∅) ˈ(∅ eɪ ∅) (ʃ n̩ ∅)
six,sɪks,(s ɪ ks)
sixth,sɪksθ,(s ɪ ksθ)
size,saɪz,(s aɪ z)
ski,skiː,(sk iː ∅)
skill,skɪl,(sk ɪ l)
skilled,skɪld,(sk ɪ ld)
skin,skɪn,(sk ɪ n)
skip,skɪp,(sk ɪ p)
skirt,skɜːt,(sk ɜː t)
skull,skʌl,(sk ʌ l)
sky,skaɪ,(sk aɪ ∅)
slam,slam,(sl a m)
slap,slap,(sl a p)
slave,sleɪv,(sl eɪ v)
slavery,ˈsleɪvəri,ˈ(sl eɪ ∅) (v ə ∅) (r i ∅)
sleep,sliːp,(sl iː p)
sleeve,sliːv,(sl iː v)
slice,slaɪs,(sl aɪ s)
slide,slaɪd,(sl aɪ d)
slide,slaɪd,(sl aɪ d)
slight,ˈslaɪt,ˈ(sl aɪ t)
slightly,ˈslaɪtli,ˈ(sl aɪ t) (l i ∅)
slip,slɪp,(sl ɪ p)
slope,sləʊp,(sl əʊ p)
slot,slɒt,(sl ɒ t)
slow,sləʊ,(sl əʊ ∅)
slowly,ˈsləʊli,ˈ(sl əʊ ∅) (l i ∅)
small,smɔːl,(sm ɔː l)
smart,smɑːt,(sm ɑː t)
smell,smel,(sm e l)
smile,smaɪl,(sm aɪ l)
smoke,sməʊk,(sm əʊ k)
smooth,smuːð,(sm uː ð)
snake,sneɪk,(sn eɪ k)
snap,snap,(sn a p)
sneak,sniːk,(sn iː k)
snow,snəʊ,(sn əʊ ∅)
so,ˈsəʊ,ˈ(s əʊ ∅)
soak,səʊk,(s əʊ k)
soap,səʊp,(s əʊ p)
soar,sɔː,(s ɔː ∅)
so-called,səʊˈkɔːld,(s əʊ ∅) ˈ(k ɔː ld)
soccer,ˈsɒkə,ˈ(s ɒ ∅) (k ə ∅)
social,ˈsəʊʃəl,ˈ(s əʊ ∅) (ʃ ə l)
socially,ˈsəʊʃəli,ˈ(s əʊ ∅) (ʃ ə ∅) (l i ∅)
society,səˈsaɪəti,(s ə ∅) ˈ(s aɪ ∅) (∅ ə ∅) (t i ∅)
sock,ˈsɒk,ˈ(s ɒ k)
sodium,ˈsəʊdiəm,ˈ(s əʊ ∅) (d iə m)
sofa,ˈsəʊfə,ˈ(s əʊ ∅) (f ə ∅)
soft,sɒft,(s ɒ ft)
soften,ˈsɒfn̩,ˈ(s ɒ ∅) (f n̩ ∅)
softly,ˈsɒftli,ˈ(s ɒ ft) (l i ∅)
software,ˈsɒftweə,ˈ(s ɒ ft) (w eə ∅)
soil,sɔɪl,(s ɔɪ l)
solar,ˈsəʊlə,ˈ(s əʊ ∅) (l ə ∅)
soldier,ˈsəʊlʤə,ˈ(s əʊ l) (ʤ ə ∅)
sole,səʊl,(s əʊ l)
solely,ˈsəʊli,ˈ(s əʊ l) (l i ∅)
solid,ˈsɒlɪd,ˈ(s ɒ ∅) (l ɪ d)
solution,səˈluːʃn̩,(s ə ∅) ˈ(l uː ∅) (ʃ n̩ ∅)
solve,sɒlv,(s ɒ lv)
some,sʌm,(s ʌ m)
somebody,ˈsʌmbədi,ˈ(s ʌ m) (b ə ∅) (d i ∅)
somehow,ˈsʌmhaʊ,ˈ(s ʌ m) (h aʊ ∅)
someone,ˈsʌmwʌn,ˈ(s ʌ m) (w ʌ n)
something,ˈsʌmθɪŋ,ˈ(s ʌ m) (θ ɪ ŋ)
sometime,ˈsʌmtaɪm,ˈ(s ʌ m) (t aɪ m)
sometimes,ˈsʌmtaɪmz,ˈ(s ʌ m) (t aɪ mz)
somewhat,ˈsʌmwɒt,ˈ(s ʌ m) (w ɒ t)
somewhere,ˈsʌmweə,ˈ(s ʌ m) (w eə ∅)
son,sʌn,(s ʌ n)
song,sɒŋ,(s ɒ ŋ)
soon,suːn,(s uː n)
soon,suːn,(s uː n)
sophisticated,səˈfɪstɪkeɪtɪd,(s ə ∅) ˈ(f ɪ ∅) (st ɪ ∅) (k eɪ ∅) (t ɪ d)
sorry,ˈsɒri,ˈ(s ɒ ∅) (r i ∅)
sort,sɔːt,(s ɔː t)
soul,səʊl,(s əʊ l)
sound,ˈsaʊnd,ˈ(s aʊ nd)
soup,suːp,(s uː p)
source,sɔːs,(s ɔː s)
south,saʊθ,(s aʊ θ)
southeast,saʊθˈiːst,(s aʊ θ) ˈ(∅ iː st)
southern,ˈsʌðən,ˈ(s ʌ ∅) (ð ə n)
southwest,saʊθˈwest,(s aʊ θ) ˈ(w e st)
sovereignty,ˈsɒvrənti,ˈ(s ɒ v) (r ə n) (t i ∅)
soviet,ˈsəʊviət,ˈ(s əʊ ∅) (v iə t)
space,speɪs,(sp eɪ s)
spanish,ˈspanɪʃ,ˈ(sp a ∅) (n ɪ ʃ)
spare,speə,(sp eə ∅)
spark,spɑːk,(sp ɑː k)
speak,spiːk,(sp iː k)
speaker,ˈspiːkə,ˈ(sp iː ∅) (k ə ∅)
